30
32
500
13,r
4,r
29,m
10,r
25,r
5,r
13,m
14,r
15,r
4,r
21,r
22,r
15,m
27,r
18,r
29,m
6,r
29,m
11,r
12,m
22,r
7,r
1,r
21,m
10,r
18,r
25,m
15,r
8,r
28,r
11,r
27,r
29,m
29,r
2,r
26,m
25,m
17,r
30,r
21,m
1,m
3,m
12,r
13,r
15,r
5,r
9,r
1,m
9,r
10,m
30,m
13,m
11,m
9,r
1,m
7,r
29,m
16,r
22,r
14,m
1,m
12,r
22,r
0,r
1,r
4,r
30,m
20,r
21,r
26,r
19,m
31,m
2,r
8,r
6,r
1,m
31,m
30,m
7,r
30,r
24,m
20,m
21,r
30,r
13,m
22,m
1,m
25,m
10,m
31,r
11,m
27,r
0,m
21,m
16,m
15,r
24,m
16,m
19,r
2,m
5,r
12,m
16,m
22,r
3,m
21,r
6,m
31,m
15,r
14,m
28,m
16,r
15,m
5,r
27,r
5,m
4,m
22,m
25,r
19,m
14,r
21,m
20,r
7,m
7,m
16,r
15,r
26,m
22,r
24,r
8,m
12,m
17,r
16,r
23,r
30,r
1,m
14,r
28,m
22,r
6,m
27,m
25,r
29,r
19,m
8,m
28,m
7,r
24,r
18,m
19,m
24,m
5,m
10,m
11,m
6,r
13,r
10,m
26,m
15,m
21,r
5,r
27,m
20,r
2,r
26,r
13,m
16,m
19,r
1,r
4,r
23,m
27,m
13,m
8,m
20,m
11,m
15,r
28,r
23,r
30,r
6,m
10,r
26,m
4,m
13,m
2,m
12,r
10,m
22,m
0,m
24,m
29,r
18,r
27,m
11,r
27,r
26,m
18,r
19,r
13,m
24,m
31,m
25,m
6,m
18,m
28,m
4,m
22,r
20,r
0,m
2,m
8,m
28,r
29,r
27,r
27,m
31,r
19,r
17,m
3,m
31,r
27,m
12,m
29,r
29,m
13,r
20,m
31,m
15,m
0,m
31,r
24,m
26,r
8,m
3,m
11,r
11,r
19,r
15,m
30,m
4,r
11,m
4,r
24,m
11,m
30,r
2,m
26,m
12,m
9,m
30,m
18,m
22,m
27,m
17,r
12,r
7,m
16,r
21,m
12,r
15,r
16,m
6,r
20,m
30,m
26,m
17,r
0,r
15,r
24,r
26,m
22,m
17,m
26,m
24,m
19,r
27,r
17,m
2,r
2,m
6,r
0,m
28,r
22,r
7,m
15,r
17,r
5,m
22,m
22,r
30,r
22,m
6,r
3,m
4,r
24,r
24,m
0,m
3,r
28,m
6,m
31,r
8,m
15,r
19,r
7,m
13,m
26,m
10,m
0,r
18,r
3,m
7,m
21,m
0,m
9,r
6,m
0,r
16,r
30,m
10,m
28,m
24,r
1,m
9,m
5,r
11,r
11,r
5,m
28,m
27,r
0,r
11,m
26,m
30,m
5,m
1,m
26,r
19,r
28,m
2,m
17,m
3,m
18,m
21,r
31,r
15,m
16,r
12,m
13,m
4,r
18,r
18,r
27,r
31,m
16,r
8,r
6,r
2,r
21,r
30,r
30,m
30,r
30,m
27,r
2,m
19,m
31,m
10,r
12,m
9,m
1,m
31,m
20,m
14,m
15,m
20,r
23,m
6,r
29,m
7,r
18,m
13,r
2,r
17,m
29,m
8,m
27,m
11,m
8,r
9,m
18,r
17,m
12,m
13,m
5,r
12,m
9,m
11,r
4,m
25,r
28,m
17,r
4,m
2,r
20,r
5,r
8,r
22,m
17,r
3,m
27,r
2,m
29,r
6,r
12,r
28,r
3,r
20,r
28,m
21,r
23,m
13,r
6,r
24,r
12,r
30,m
2,r
11,r
11,m
15,r
15,r
17,m
26,m
15,m
19,r
3,m
0,m
10,r
21,m
30,r
16,m
6,r
28,m
20,m
19,r
2,r
2,r
26,r
7,r
2,m
26,r
6,r
6,m
2,r
28,m
19,m
6,m
21,r
26,m
0,m
6,m
22,r
16,r
10,m
24,m
16,m
27,m
8,r
27,r
20,m
28,m
8,m
23,r
0,m
29,r
9,m
13,r
29,m
22,r
1,m
27,r
29,m
28,r
17,m
1,r
4,r
28,r
29,r
17,m
16,m
18,m
7,r
3,r
3,r
13,r
12,m
25,r
29,m
